iter	Passed	Remaining
0	1	163
1	2	144
2	4	129
3	4	116
4	5	113
5	7	110
6	8	108
7	9	106
8	10	103
9	11	100
10	12	98
11	13	97
12	14	96
13	15	96
14	17	96
15	18	95
16	19	95
17	20	94
18	21	93
19	23	92
20	24	91
21	25	91
22	27	90
23	28	90
24	29	89
25	31	89
26	32	88
27	33	87
28	35	86
29	36	85
30	37	84
31	39	83
32	40	82
33	41	81
34	43	80
35	44	79
36	46	78
37	47	77
38	49	76
39	50	75
40	51	74
41	52	72
42	53	71
43	55	70
44	56	69
45	58	68
46	59	67
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	74	54
58	75	52
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	44
66	87	43
67	88	41
68	90	40
69	91	39
70	93	38
71	94	36
72	96	35
73	97	34
74	98	32
75	100	31
76	101	30
77	103	29
78	104	27
79	106	26
80	107	25
81	108	23
82	110	22
83	111	21
84	112	19
85	114	18
86	115	17
87	116	15
88	118	14
89	119	13
90	121	11
91	122	10
92	124	9
93	125	8
94	126	6
95	128	5
96	129	4
97	130	2
98	132	1
99	133	0
